Env,Run,Success,Reason,Reward,Height,Travelled Distance,Steps
xcell_aerial_hq,12,1.0,Boundaries,98.9070493131876,22.058135986328125,47.7563825561297,91
xcell_aerial_hq,13,1.0,None,92.49084258079529,20.753238677978516,38.43877583281564,30
xcell_aerial_hq,14,1.0,Boundaries,85.81607459485531,20.667497634887695,37.700455424434246,50
irchel,0,1.0,Boundaries,79.64151042327285,24.46919822692871,49.94386110339137,52
irchel,1,1.0,Boundaries,93.07280122116208,24.178895950317383,56.14878006766034,73
irchel,2,1.0,Boundaries,94.72416084632277,23.376192092895508,149.0916572486989,58
irchel,3,1.0,Boundaries,97.09798336029053,24.914535522460938,135.9535019547262,39
irchel,4,0.0,Boundaries,13.812281548976898,21.645490646362305,48.9966832139184,53
irchel,5,1.0,Boundaries,99.60173106193542,25.36063575744629,105.91778886057558,34
irchel,6,1.0,Boundaries,93.09471207112074,24.818025588989258,58.96514776902478,49
irchel,7,1.0,Boundaries,101.08398177847266,25.072948455810547,115.48093399620672,63
irchel,8,1.0,Boundaries,88.6109124161303,23.571044921875,102.13973347287987,74
irchel,9,1.0,Boundaries,90.75012637674809,22.498363494873047,102.76743347315059,49
irchel,10,1.0,Boundaries,96.17272558063269,24.449790954589844,59.19737385931661,52
irchel,11,1.0,Boundaries,88.29142928496003,23.262611389160156,64.41943213630037,91
irchel,12,1.0,Boundaries,92.04849092289805,21.83831024169922,41.310998943073216,48
irchel,13,1.0,Boundaries,93.671616345644,25.03236198425293,70.52297225358865,47
irchel,14,1.0,Boundaries,87.15363702178001,23.522846221923828,49.27804750235519,85
hofdi_house,0,1.0,None,82.40108508244157,24.757783889770508,50.56746389252382,69
hofdi_house,1,1.0,None,99.12143662571907,22.948101043701172,44.504772563367396,54
hofdi_house,2,1.0,None,93.71297253295779,20.990678787231445,40.612259544909065,65
hofdi_house,3,1.0,None,77.56341958791018,23.255001068115234,43.479297279251014,58
hofdi_house,4,1.0,None,91.78754483908415,23.370868682861328,36.90189793306603,47
hofdi_house,5,1.0,Boundaries,94.06624728441238,21.713376998901367,49.92452528525649,51
hofdi_house,6,1.0,None,93.08677370846272,24.835285186767578,38.79439021327259,37
hofdi_house,7,1.0,None,96.71770715340972,21.335792541503906,45.1980451916646,77
hofdi_house,8,1.0,None,94.09737579524517,21.692638397216797,34.090302718398476,44
hofdi_house,9,1.0,Boundaries,88.31933358311653,22.8199520111084,47.126142419480786,43
hofdi_house,10,1.0,Boundaries,98.04752700030804,22.8149356842041,43.871289095278236,49
hofdi_house,11,1.0,None,92.03261794149876,22.73066520690918,43.03720384682678,57
hofdi_house,12,1.0,None,90.48351936042309,24.097097396850586,49.36391535967267,61
hofdi_house,13,1.0,None,97.98252512514591,21.369176864624023,37.904532963545606,53
hofdi_house,14,1.0,Boundaries,73.98922343924642,21.545974731445312,50.877255475795046,89
