Env,Run,Success,Reason,Reward,Height,Travelled Distance,Steps
essex_castle,0,1.0,None,86.52890903502703,30.681331634521484,45.576237750204186,48
essex_castle,1,1.0,None,88.70545601844788,31.037273406982422,59.31005586072839,28
essex_castle,2,1.0,None,89.22996376082301,28.56231689453125,55.82741811347771,59
essex_castle,3,1.0,None,77.53631825372577,30.037385940551758,47.69006618254587,50
essex_castle,4,1.0,None,84.14619011059403,29.203039169311523,67.96445104732747,65
essex_castle,5,1.0,None,87.0056338943541,29.23048210144043,49.8738624836125,50
essex_castle,6,1.0,None,91.58014015853405,28.452119827270508,71.3259138663573,44
essex_castle,7,1.0,None,84.93901192396879,31.348546981811523,71.57645440590663,43
essex_castle,8,1.0,None,95.70253586769104,30.705522537231445,70.78454861805278,32
essex_castle,9,1.0,None,94.16476095840335,30.951961517333984,64.54838220062831,46
essex_castle,10,0.0,Semantics,28.200768548995256,31.995922088623047,64.08563304602333,76
essex_castle,11,1.0,None,88.44224945828319,30.905094146728516,82.14288687938074,79
essex_castle,12,1.0,None,95.25875055789948,29.8228759765625,86.44738872196575,34
essex_castle,13,1.0,None,79.09860682487488,31.657564163208008,33.82859382142297,36
essex_castle,14,1.0,None,88.53764060139656,29.125160217285156,92.22945396282326,37
fraser_gunnery_range,0,1.0,None,88.83880892395973,31.876829147338867,108.96914976766291,62
fraser_gunnery_range,1,1.0,None,89.779839258641,31.240150451660156,119.16437108177828,74
fraser_gunnery_range,2,1.0,None,83.176728669554,31.679346084594727,121.56178481232132,66
fraser_gunnery_range,3,1.0,None,98.19506633281708,29.31768798828125,138.9663658098539,47
fraser_gunnery_range,4,1.0,None,94.06786581873894,31.316267013549805,48.89136081227065,57
fraser_gunnery_range,5,1.0,None,100.30293620377779,31.830642700195312,62.98676582941765,63
fraser_gunnery_range,6,1.0,None,98.56889931857586,31.443632125854492,39.117181673346366,46
fraser_gunnery_range,7,1.0,None,97.97826786339283,29.490978240966797,100.74917147680043,67
fraser_gunnery_range,8,1.0,None,92.70749451965094,28.165245056152344,63.549034594959465,56
fraser_gunnery_range,9,1.0,None,93.84672834724188,31.537996292114258,67.81264907795595,91
fraser_gunnery_range,10,1.0,None,107.97201230749488,29.271169662475586,48.3771800682855,48
