n_updates,policy_loss,policy_entropy,ep_reward_mean,fps,approxkl,explained_variance,clipfrac,time_elapsed,value_loss,total_timesteps,serial_timesteps,ep_len_mean
90,-0.0040903357,0.683629,69.87008998576552,44,0.01949029,0.8046265244483948,0.19012503,17171.3721203804,37.348103,720000,180000,65.78
91,-0.0010789196,0.81009567,70.65305192586034,37,0.011816696,0.9121826887130737,0.13784374,17351.92750120163,28.458443,728000,182000,77.77
92,-0.0008265248,0.8312924,84.42196974072606,41,0.010736971,0.9260023534297943,0.122062504,17565.3811545372,25.725307,736000,184000,66.01
93,0.00035697813,0.9245205,80.31624619003385,39,0.007956279,0.9262493848800659,0.091281235,17760.038228988647,32.858135,744000,186000,73.71
94,-0.0032055438,0.83355844,74.67700641591102,38,0.008888801,0.9358114451169968,0.1035625,17962.698086500168,25.460007,752000,188000,72.77
95,0.0013785034,0.89759815,81.1494388097152,40,0.017559854,0.9458896219730377,0.20428124,18171.138324975967,22.631006,760000,190000,82.06
96,-0.0027618136,0.75307465,72.9982959407568,49,0.012524641,0.879959374666214,0.14225002,18367.746462583542,37.77924,768000,192000,67.82
97,0.0010103367,0.6855192,76.52582209169864,45,0.013748924,0.8689396381378174,0.14146876,18530.79870724678,29.148376,776000,194000,63.53
98,-0.0013344577,1.0830966,75.6780738627538,41,0.010950552,0.9271478354930878,0.13728127,18705.13360595703,29.979,784000,196000,88.22
99,0.0013420207,1.1387936,70.81661207862199,42,0.02159671,0.8956150561571121,0.23278128,18898.277952432632,38.388966,792000,198000,92.49
100,-0.0031396942,1.0210137,68.67511761717498,41,0.009624102,0.8885674327611923,0.114312515,19087.947657585144,41.14539,800000,200000,85.61
101,0.005770067,0.94607806,78.67924288477748,40,0.027774712,0.9114552438259125,0.24731253,19278.756047725677,25.306873,808000,202000,85.51
102,0.0035699385,1.039294,72.25179742045701,41,0.021473126,0.9276237636804581,0.18537496,19476.270385742188,27.624344,816000,204000,76.39
103,-0.000782608,1.1390139,74.7548165871948,40,0.01284778,0.9258050546050072,0.14518753,19668.715058088303,25.535032,824000,206000,82.28
104,0.004241593,0.8946254,79.94732267726212,40,0.021471074,0.908411517739296,0.20325002,19863.859196424484,26.449661,832000,208000,60.47
105,0.003984686,1.1811529,79.68941933125258,39,0.02145217,0.9134959653019905,0.22318752,20061.142812252045,31.271868,840000,210000,80.88
106,0.0023898408,0.928341,72.8232781932503,41,0.02667591,0.9044584557414055,0.18193752,20264.54404258728,43.467567,848000,212000,71.76
